1,John Pilot,Pilot
2,Mike Pilot,Pilot
3,Sarah Pilot,Pilot
4,Tom Pilot,Pilot
5,Lisa Pilot,Pilot
6,Alex Pilot,Pilot
7,David Pilot,Pilot
8,Emma Pilot,Pilot
9,Chris Gunner,Gunner
10,Anna Gunner,Gunner
11,Sam Gunner,Gunner
12,Kate Gunner,Gunner
13,Paul Gunner,Gunner
14,Rose Gunner,Gunner
15,Mark Gunner,Gunner
16,Lily Gunner,Gunner
17,Jack Gunner,Gunner
18,Nina Gunner,Gunner
19,Ben Gunner,Gunner
20,Lucy Gunner,Gunner
21,Dan Gunner,Gunner
22,May Gunner,Gunner
23,Leo TorpedoHandler,TorpedoHandler
24,Zoe TorpedoHandler,TorpedoHandler
25,Max TorpedoHandler,TorpedoHandler
26,Ava TorpedoHandler,TorpedoHandler
